16:20:55 INFO E1-0: 34456m347p117s246z | 4m
16:20:58 INFO S1-3: 12369m23088p13s46z(p6z2) | 9m
16:20:58 INFO S1-4: 456799m58p123478s(p6z2) | 7s
16:20:58 INFO S1-4: 4566799m58p12348s(p6z2) | 6m
16:20:58 INFO S1-4: 456799m58p122348s(p6z2) | 2s
16:20:58 INFO S1-4: 3456799m58p12348s(p6z2) | 3m
16:20:58 INFO S1-4: 4566799m58p12348s(p6z2) | 6m
16:20:58 INFO S1-4: 456799m158p12348s(p6z2) | 1p
16:20:58 INFO S1-4: 456799m58p12348s7z(p6z2) | C
16:20:58 INFO S1-4: 456799m58p123478s(p6z2) | 7s
16:20:58 INFO S1-4: 3456799m58p12348s(p6z2) | 3m
16:20:59 INFO S1-4: 456799m58p12348s2z(p6z2) | S
16:20:59 INFO S1-4: 4567899m58p12348s(p6z2) | 8m
16:20:59 INFO S1-4: 456799m588p12348s(p6z2) | 8p
16:20:59 INFO S1-4: 456799m578p12348s(p6z2) | 7p
16:20:59 INFO S1-4: 456799m58p123458s(p6z2) | 5s
16:20:59 INFO S1-4: 4056799m58p12348s(p6z2) | 5mr
16:20:59 INFO S1-4: 456799m58p12348s6z(p6z2) | F
16:20:59 INFO S1-4: 456799m58p12348s4z(p6z2) | N
16:20:59 INFO S1-5: 23m2668p2467s3456z(p6z2) | 2m
16:20:59 INFO S1-5: 13m2668p2467s3456z(p6z2) | 1m
16:20:59 INFO S1-5: 3m2668p24467s3456z(p6z2) | 4s
16:20:59 INFO S1-5: 37m2668p2467s3456z(p6z2) | 7m
16:20:59 INFO S1-5: 3m2668p2467s34567z(p6z2) | C
16:20:59 INFO S1-5: 3m26689p2467s3456z(p6z2) | 9p
16:20:59 INFO S1-5: 3m2668p22467s3456z(p6z2) | 2s
16:20:59 INFO S1-5: 3m26689p2467s3456z(p6z2) | 9p
16:20:59 INFO S1-5: 3m2668p24067s3456z(p6z2) | 5sr
16:20:59 INFO S1-5: 38m2668p2467s3456z(p6z2) | 8m
16:20:59 INFO S1-5: 3m2668p2467s13456z(p6z2) | E
16:20:59 INFO S1-5: 33m2668p2467s3456z(p6z2) | 3m
16:20:59 INFO S1-5: 35m2668p2467s3456z(p6z2) | 5m
16:20:59 INFO S1-5: 34m2668p2467s3456z(p6z2) | 4m
16:20:59 INFO S1-5: 3m23668p2467s3456z(p6z2) | 3p
16:20:59 INFO S1-5: 36m2668p2467s3456z(p6z2) | 6m
16:20:59 INFO S1-5: 3m2668p23467s3456z(p6z2) | 3s
16:20:59 INFO S2-6: 17m12367p1255689s(p6z2) | 7p
16:20:59 INFO S2-6: 17m1236p12556889s(p6z2) | 8s
16:20:59 INFO S2-6: 17m1236p12555689s(p6z2) | 5s
16:21:00 INFO S2-6: 17m1236p12255689s(p6z2) | 2s
16:21:00 INFO S2-6: 17m1236p1255689s1z(p6z2) | E
16:21:00 INFO S2-6: 179m1236p1255689s(p6z2) | 9m
16:21:00 INFO S2-6: 17m12366p1255689s(p6z2) | 6p
16:21:00 INFO S2-6: 17m1236p1255689s7z(p6z2) | C
16:21:00 INFO S2-6: 178m1236p1255689s(p6z2) | 8m
16:21:00 INFO S2-6: 17m11236p1255689s(p6z2) | 1p
16:21:00 INFO S2-6: 137m1236p1255689s(p6z2) | 3m
16:21:00 INFO S2-6: 137m1236p1255689s(p6z2) | 3m
16:21:00 INFO S2-6: 179m1236p1255689s(p6z2) | 9m
16:21:00 INFO S2-6: 17m1236p12455689s(p6z2) | 4s
16:21:00 INFO S2-6: 17m1236p1255689s6z(p6z2) | F
16:21:00 INFO S2-6: 17m1236p12556789s(p6z2) | 7s
16:21:00 INFO S2-6: 17m1236p1255689s2z(p6z2) | S
16:21:00 INFO S3-7: 2246m56p79s344557z(p6z2) | N
16:21:00 INFO S3-7: 2246m56p79s345567z(p6z2) | F
16:21:00 INFO S3-7: 2246m56p789s34557z(p6z2) | 8s
16:21:00 INFO S3-7: 2246m56p479s34557z(p6z2) | 4s
16:21:00 INFO S3-7: 2246m56p679s34557z(p6z2) | 6s
16:21:00 INFO S3-7: 2246m56p79s345557z(p6z2) | P
16:21:00 INFO S3-7: 2246m56p779s34557z(p6z2) | 7s
16:21:00 INFO S3-7: 2246m56p799s34557z(p6z2) | 9s
16:21:00 INFO S3-7: 2246m56p79s134557z(p6z2) | E
16:21:00 INFO S3-7: 22469m56p79s34557z(p6z2) | 9m
16:21:00 INFO S3-7: 2246m56p279s34557z(p6z2) | 2s
16:21:00 INFO S3-7: 2246m56p79s345557z(p6z2) | P
16:21:00 INFO S3-7: 2246m456p79s34557z(p6z2) | 4p
16:21:00 INFO S3-7: 22467m56p79s34557z(p6z2) | 7m
16:21:00 INFO S3-7: 2246m456p79s34557z(p6z2) | 4p
16:21:00 INFO S3-7: 2246m56p79s334557z(p6z2) | W
16:21:00 INFO S3-7: 22456m56p79s34557z(p6z2) | 5m
16:21:00 INFO S3-7: 2246m566p79s34557z(p6z2) | 6p
16:21:00 INFO S4-8: 1m1277p36689s2566z(p6z2) | 6s
16:21:00 INFO S4-8: 1m12577p3689s2566z(p6z2) | 5p
16:21:00 INFO S4-8: 1m12779p3689s2566z(p6z2) | 9p
16:21:01 INFO S4-8: 18m1277p3689s2566z(p6z2) | 8m
16:21:01 INFO S4-8: 1m1277p3689s22566z(p6z2) | S
16:21:01 INFO S4-8: 1m1277p23689s2566z(p6z2) | 2s
16:21:01 INFO S4-8: 1m1277p34689s2566z(p6z2) | 4s
16:21:01 INFO S4-8: 1m1277p3689s25566z(p6z2) | P
16:21:01 INFO S4-8: 1m12779p3689s2566z(p6z2) | 9p
16:21:01 INFO S4-8: 1m1277p23689s2566z(p6z2) | 2s
16:21:01 INFO S4-8: 13m1277p3689s2566z(p6z2) | 3m
16:21:01 INFO S4-8: 1m1277p34689s2566z(p6z2) | 4s
16:21:01 INFO S4-8: 18m1277p3689s2566z(p6z2) | 8m
16:21:01 INFO S4-8: 17m1277p3689s2566z(p6z2) | 7m
16:21:01 INFO S4-8: 15m1277p3689s2566z(p6z2) | 5m
16:21:01 INFO S4-8: 1m1277p35689s2566z(p6z2) | 5s
16:21:01 INFO S4-8: 1m12779p3689s2566z(p6z2) | 9p
16:21:01 INFO S4-8: 1m1277p3689s24566z(p6z2) | N
